#
# [ASteCA v0.1.9-beta]
#
# Modified: 2015-08-15 15:03:14
#
# NAME: Cluster's name.
# c_x: Cluster's x center coordinate.
# e_x: Cluster's x center coordinate error.
# c_y: Cluster's y center coordinate.
# e_y: Cluster's x center coordinate error.
# r_cl: Cluster's radius.
# e_rcl: Cluster's radius error.
# r_c: Core radius (3-P King profile).
# e_rc: Core radius error.
# r_t: Tidal radius (3-P King profile).
# e_rt: Tidal radius error.
# kcp: King's profile concentration parameter.
#
# CI: 'Contamination index' is a  measure of the contamination of field
#      stars in the cluster region. The closer to 1, the more contaminated 
#      the cluster region is.
# n_memb_k: Approximate number of cluster's members obtained integrating the
#         fitted 3-P King profile (if it converged).
# n_memb: Approximate number of cluster's members assuming a uniform
#       background.
# n_memb_da: Approximate number of cluster's members obtained via the DA
#          algorithm.
# memb_par: Members parameter comparing the approximate structural number of
#           members ('n_memb') with the approximate photometric number of
#           members ('n_memb_da').
# a_f: Fraction of cluster's area that is present in frame.
# prob_cl: Statistical comparision of cluster vs field KDEs. It is obtained
#          as 1 minus the overlap area between the KDEs. If the KDEs are
#          very similar this value will be low indicating the overdensity is
#          probably not a true cluster.
# int_col: Integrated color magnitude for all stars inside the cluster
#          radius, except those that were rejected due to large errors.
# met: Metallicity value (z).
# e_m: Metallicity error.
# age: log(age).
# e_a: log(age) error.
# E(B-V): extinction.
# e_E: Extinction error.
# dist: Distance modulus.
# e_d: Distance error.
# M_i: Total initial mass.
# e_M: Mass error.
# bin_fr: Binary fraction.
# e_bf: Binary fraction error.
#
# M1 Indicates that the center was set manually.
# M2 Indicates that the radius was set manually.
#
# f1 Either median cluster's central coordinates (obtained using several
#    standard deviation smoothing values) is more than 10% away from the
#    central position assigned.
# f2 The standard deviation for either center coordinate is larger than 10%
#    of the coordinate's value.
# f3 The background value is smaller than a third of the maximum radial
#    density value.
# f4 Not enough points found stabilized around the background value -->
#    clust_rad was set to the middle value in the density profile.
# f5 The delta range around the background used to attain the stable
#    condition to determine the radius is greater than 10%%. This indicates
#    a possible variable background.
# f6 The process to fit a 3-P King profile to the density points did not
#    converge or did so to a tidal radius beyond the ranges of the frame.
# f7 No error rejection was possible.
# f8 The function had to fall back to the 'e_max'-based rejection method
#    since the selected one failed.
# f9 The number of approximate structural cluster members ('n_memb') is < 10.
# f10 The number of approximate structural and photometric cluster members
#     differ greatly --> abs(n_memb_par) > 0.33.
#
# FC (flags count): Sum of all the flags values. The bigger this value the
#    more likely it is that there's a problem with the frame, ie: no cluster,
#    more than one cluster present in the frame, variable or too crowded
#    field, etc.
#
#NAME                 c_x      e_x      c_y      e_y     r_cl    e_rcl      r_c     e_rc      r_t     e_rt      kcp      CI   n_memb_k     n_memb  n_memb_da  memb_par     a_f  prob_cl  int_col      met      e_m      age      e_a   E(B-V)      e_E     dist      e_d      M_i      e_M   bin_fr     e_bf      M1 M2  f1 f2 f3 f4 f5 f6 f7 f8 f9 f10  FC
BSDL654            1062.0      0.0   3302.0      0.0     70.0      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.62         -1         64         66     -0.02    1.00    -1.00   -99.00   0.0152     -1.0      8.2     -1.0     0.11     -1.0    18.96     -1.0      410     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   0   2
H88-244            1749.0      0.0   1410.0      0.0     91.2      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.96         -1         11        191     -0.89    1.00    -1.00   -99.00 0.006051     -1.0        6     -1.0     0.14     -1.0    18.96     -1.0     1010     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
C11                1525.0      0.0    520.0      0.0    112.5      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.67         -1         76         41      0.30    1.00    -1.00   -99.00   0.0152     -1.0      7.8     -1.0      0.1     -1.0    18.96     -1.0      410     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
HS130               280.0      0.0   1945.0      0.0     87.5      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.70         -1         95         38      0.43    1.00    -1.00   -99.00   0.0152     -1.0     6.85     -1.0      0.1     -1.0    18.96     -1.0      610     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
AM3                3784.0      2.0   4741.0      2.0    200.0     40.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.22         -1         85        104     -0.10    1.00    -1.00   -99.00 0.001914     -1.0       10     -1.0     0.02     -1.0    18.49     -1.0     3210     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
BSDL677            7170.0      2.0   5065.0      2.0     50.0     10.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.81         -1         17          5      0.55    1.00    -1.00   -99.00 0.007618     -1.0     6.45     -1.0     0.09     -1.0    18.96     -1.0      210     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
B47                2655.0      0.0   5345.0      0.0     70.0      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.88         -1         25         25      0.00    1.00    -1.00   -99.00 0.007618     -1.0        9     -1.0      0.1     -1.0    18.49     -1.0     1010     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   0   2
BSDL2995            457.0      2.0   8163.0      2.0    110.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.66         -1        125        214     -0.26    0.87    -1.00   -99.00 0.012074     -1.0        9     -1.0     0.04     -1.0    18.96     -1.0     1810     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   0   2
H86-197             891.0      2.0   7527.0      2.0     60.0     10.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.51         -1         13         20     -0.21    1.00    -1.00   -99.00 0.002409     -1.0     9.15     -1.0    0.045     -1.0    18.49     -1.0      210     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
BSDL665            1418.0      2.0   3841.0      2.0    110.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.85         -1         48          1      0.96    1.00    -1.00   -99.00 0.006051     -1.0     8.85     -1.0     0.04     -1.0    18.96     -1.0      210     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
BSDL594             182.0      2.0   1394.0      2.0    120.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.65         -1        186        166      0.06    1.00    -1.00   -99.00 0.012074     -1.0     9.05     -1.0     0.05     -1.0    18.96     -1.0     1810     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
H88-188            7849.0      2.0   6656.0      2.0    140.0     30.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.86         -1         44         14      0.52    1.00    -1.00   -99.00 0.012074     -1.0      8.7     -1.0     0.01     -1.0    18.96     -1.0      610     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
BSDL3158           1649.0      2.0   2045.0      2.0    200.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.73         -1        162         52      0.51    1.00    -1.00   -99.00 0.006051     -1.0      9.5     -1.0     0.01     -1.0    18.96     -1.0     2610     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   1   2
B34                543.35      0.0  1446.43      0.0     65.0      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.80         -1         35          0      1.00    1.00    -1.00   -99.00 0.001207     -1.0      9.9     -1.0     0.12     -1.0    18.49     -1.0     3610     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
BSDL341            1236.0      2.0   5364.0      2.0    210.0     30.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.80         -1        219         30      0.76    1.00    -1.00   -99.00 0.000605     -1.0      6.3     -1.0     0.07     -1.0    18.96     -1.0     1410     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
H88-265            1521.0      0.0   3570.0      0.0     73.0      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    1.02         -1          0        125     -1.00    1.00    -1.00   -99.00 0.012074     -1.0      6.1     -1.0     0.16     -1.0    18.96     -1.0     1010     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  1   1   4
BS35                360.0      0.0   4625.0      0.0     62.5      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    1.00         -1          1        103     -0.98    1.00    -1.00   -99.00 0.009591     -1.0        7     -1.0     0.12     -1.0    18.49     -1.0      210     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  1   1   4
HW59               2193.0      1.0   2531.0      2.0     60.0     40.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.89         -1         10         77     -0.77    1.00    -1.00   -99.00  0.00152     -1.0      9.9     -1.0      0.1     -1.0    18.49     -1.0      410     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
BS121              1165.0      2.0   1211.0      2.0    110.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.89         -1         56          0      1.00    1.00    -1.00   -99.00 0.000303     -1.0      9.9     -1.0     0.12     -1.0    18.49     -1.0     1610     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
BS265              8170.0      0.0   2080.0      0.0    100.0      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.90         -1         15         19     -0.12    1.00    -1.00   -99.00 0.006051     -1.0      9.1     -1.0     0.07     -1.0    18.49     -1.0      410     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   0   2
LW211               953.0      2.0   1241.0      2.0    180.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.61         -1        135        112      0.09    1.00    -1.00   -99.00 0.009591     -1.0      9.1     -1.0     0.13     -1.0    18.96     -1.0     2610     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
BSDL1024           5381.0      2.0    153.0      2.0    100.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.99         -1          2          0      1.00    1.00    -1.00   -99.00 0.004807     -1.0     8.45     -1.0     0.02     -1.0    18.96     -1.0     1410     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  1   1   4
BSDL675             682.0      2.0    193.0      2.0    110.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.83         -1         55          6      0.80    1.00    -1.00   -99.00   0.0152     -1.0     8.95     -1.0     0.03     -1.0    18.96     -1.0      410     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   1   2
H88-279             265.0      0.0   5890.0      0.0     73.0      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    1.14         -1          0        141     -1.00    1.00    -1.00   -99.00 0.004807     -1.0     6.15     -1.0     0.12     -1.0    18.96     -1.0      810     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  1   1   4
HW42               7173.0      2.0   7807.0      2.0     70.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.82         -1         19          0      1.00    1.00    -1.00   -99.00   0.0152     -1.0     9.05     -1.0     0.08     -1.0    18.49     -1.0      210     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
LW224              2001.0      2.0    151.0      2.0    110.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.79         -1         53          6      0.80    0.85    -1.00   -99.00   0.0152     -1.0      8.7     -1.0     0.11     -1.0    18.96     -1.0     1010     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
BSDL631             509.0      0.0   3280.0      0.0     54.7      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    1.10         -1          0         75     -1.00    1.00    -1.00   -99.00   0.0152     -1.0      6.6     -1.0     0.11     -1.0    18.96     -1.0      610     -1.0      0.5     -1.0       0  0   0  0  1  1  1  1  0  0  1   1   6
HS38               2496.0      2.0   6554.0      2.0    112.5      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.62         -1        114        132     -0.07    1.00    -1.00   -99.00   0.0152     -1.0      8.6     -1.0     0.06     -1.0    18.96     -1.0      610     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   0   2
BSDL716            5100.0      0.0   6250.0      0.0    150.0      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.94         -1         43          0      1.00    1.00    -1.00   -99.00 0.007618     -1.0      8.8     -1.0        0     -1.0    18.96     -1.0      610     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
H88-40             6942.0      2.0   3126.0      2.0    190.0     30.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.81         -1        172         40      0.62    1.00    -1.00   -99.00   0.0152     -1.0     8.95     -1.0     0.04     -1.0    18.96     -1.0     1610     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
H88-55             4990.0      2.0   5388.0      2.0    112.5      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.71         -1        125        126     -0.00    1.00    -1.00   -99.00 0.007618     -1.0     8.75     -1.0     0.06     -1.0    18.96     -1.0     1410     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   0   2
L110               1108.0      2.0   1057.0      2.0    170.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.17         -1        383        460     -0.09    1.00    -1.00   -99.00 0.003818     -1.0     9.75     -1.0    0.015     -1.0    18.49     -1.0    26010     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
H88-235            1243.0      0.0    780.0      0.0     54.7      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.96         -1          5          0      1.00    1.00    -1.00   -99.00 0.012074     -1.0      8.6     -1.0      0.1     -1.0    18.96     -1.0      410     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  1   1   4
H88-245            2750.0      0.0   1625.0      0.0     70.0      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.88         -1         20          0      1.00    1.00    -1.00   -99.00 0.012074     -1.0     8.65     -1.0     0.14     -1.0    18.96     -1.0      810     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
KMHK378            3608.0      0.0   6451.0      0.0     54.7      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.89         -1          7          4      0.27    1.00    -1.00   -99.00   0.0152     -1.0     8.45     -1.0     0.18     -1.0    18.96     -1.0      610     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  1   0   3
H88-333            1785.0      0.0   6540.0      0.0     90.0      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.73         -1         73         48      0.21    1.00    -1.00   -99.00   0.0152     -1.0      7.4     -1.0     0.24     -1.0    18.96     -1.0      410     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   0   2
BSDL77             5412.0      2.0   5700.0      2.0     70.0     10.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.54         -1         61         83     -0.15    1.00    -1.00   -99.00 0.007618     -1.0     8.95     -1.0     0.02     -1.0    18.96     -1.0      410     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
H88-331            1714.0      2.0   5027.0      2.0     80.0     10.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.72         -1         66        116     -0.27    1.00    -1.00   -99.00   0.0152     -1.0     8.65     -1.0      0.2     -1.0    18.96     -1.0     1010     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
H88-52             1045.0      0.0   5225.0      0.0    137.5      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.80         -1        120         32      0.58    1.00    -1.00   -99.00 0.012074     -1.0        9     -1.0        0     -1.0    18.96     -1.0     1010     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
H88-320            5595.0      0.0   2411.0      0.0     98.5      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.87         -1         47          3      0.88    1.00    -1.00   -99.00   0.0152     -1.0      8.6     -1.0        0     -1.0    18.96     -1.0      410     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
HS154              5710.0      0.0   6640.0      0.0    100.0      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.79         -1         37         16      0.40    1.00    -1.00   -99.00   0.0152     -1.0     6.75     -1.0     0.09     -1.0    18.96     -1.0      610     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
H88-316            3159.0      0.0   1950.0      0.0    197.1      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.93         -1         99          5      0.90    1.00    -1.00   -99.00   0.0152     -1.0     7.05     -1.0     0.28     -1.0    18.96     -1.0     1010     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
HW55                276.0      2.0    978.0      2.0    140.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.83         -1        102         13      0.77    1.00    -1.00   -99.00 0.001207     -1.0      9.1     -1.0     0.14     -1.0    18.49     -1.0      410     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
KMHK586            6493.0      2.0   6223.0      2.0    100.0     40.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.90         -1         32          8      0.60    1.00    -1.00   -99.00 0.003818     -1.0      9.5     -1.0     0.02     -1.0    18.96     -1.0     1610     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
L62                1087.0      2.0   1029.0      2.0     80.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.94         -1         13         90     -0.75    1.00    -1.00   -99.00 0.012074     -1.0      7.9     -1.0     0.12     -1.0    18.49     -1.0      810     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
H88-26             2364.0      2.0   1309.0      2.0    110.0     30.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.89         -1         37         17      0.37    1.00    -1.00   -99.00 0.012074     -1.0     8.75     -1.0     0.13     -1.0    18.96     -1.0      810     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
B39                 288.0      2.0   2277.0      2.0    100.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.97         -1         12        154     -0.86    1.00    -1.00   -99.00  0.00152     -1.0        9     -1.0     0.02     -1.0    18.49     -1.0      610     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
HS390              3769.0      2.0   1828.0      2.0     60.0     10.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.72         -1         36         57     -0.23    1.00    -1.00   -99.00   0.0152     -1.0     8.25     -1.0      0.3     -1.0    18.96     -1.0     1010     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   0   2
H88-307            2905.0      0.0    559.0      0.0    197.1      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    1.20         -1          0        589     -1.00    1.00    -1.00   -99.00   0.0152     -1.0      6.5     -1.0     0.32     -1.0    18.96     -1.0     3010     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  1   1   4
KMHK1055           7888.0      2.0   4444.0      2.0    160.0     30.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.81         -1         97        121     -0.11    1.00    -1.00   -99.00 0.009591     -1.0      6.7     -1.0     0.16     -1.0    18.96     -1.0     1010     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   0   2
HS156              1277.0      2.0    282.0      2.0    110.0     20.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.70         -1        113         57      0.33    1.00    -1.00   -99.00   0.0152     -1.0      8.9     -1.0     0.12     -1.0    18.96     -1.0     1410     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
H88-131            2828.0      2.0   1251.0      2.0     90.0     10.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.88         -1         20          1      0.90    1.00    -1.00   -99.00   0.0152     -1.0     6.75     -1.0     0.08     -1.0    18.96     -1.0      410     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
KMHK505            6594.0      2.0    800.0      2.0     50.0     10.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.70         -1         32         37     -0.07    1.00    -1.00   -99.00 0.012074     -1.0      8.9     -1.0     0.02     -1.0    18.96     -1.0      610     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   0   2
KMHK128             230.0      0.0    825.0      0.0    137.5      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.51         -1        123        180     -0.19    1.00    -1.00   -99.00   0.0152     -1.0     7.95     -1.0     0.12     -1.0    18.96     -1.0     1010     -1.0      0.5     -1.0       0  0   0  0  0  0  0  1  0  0  0   0   1
H3                 3775.0      0.0   4800.0      0.0    262.5      0.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.73         -1        392        275      0.18    1.00    -1.00   -99.00 0.004807     -1.0     9.55     -1.0     0.02     -1.0    18.96     -1.0    15010     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   0   2
HS131               197.0      2.0   6570.0      2.0     45.0      7.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.85         -1         11          0      1.00    1.00    -1.00   -99.00 0.007618     -1.0     8.95     -1.0     0.12     -1.0    18.96     -1.0      610     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
HW31               7369.0      2.0   2661.0      2.0    160.0     30.0     -1.0     -1.0     -1.0     -1.0    -1.00    0.74         -1        221         17      0.86    1.00    -1.00   -99.00 0.007618     -1.0      9.2     -1.0    0.085     -1.0    18.49     -1.0     1210     -1.0      0.5     -1.0       0  0   0  0  1  0  0  1  0  0  0   1   3
