#
# http://vizier.u-strasbg.fr/viz-bin/VizieR-3?-source=J/ApJ/751/122/table2
#
# Age1: log(age), Hunter et al. (2003). 10.00 --> No age determination
# Age: log(age), MASSCLEAN
# Mass: MASSCLEAN derived mass.
# E, e: upper and lower uncertainties.
#
#Name                VMag     e      U-B     e      B-V     e      V-R     e     Age1   Age    E     e     Mass    E     e    SimbadName            _RA        _DE   
#                     mag    mag     mag    mag     mag    mag     mag    mag    [yr]   [yr]  [yr]  [yr]   Msun   Msun  Msun                        deg        deg   
HS140.KMHK608      -4.385  0.030  -0.161  0.015   0.087  0.032  -0.028  0.069  10.00   8.03  0.14  0.04     650   350   100  [HS66] 140         077.41667  -70.35667
H88-288            -3.915  0.054  -0.233  0.031   0.165  0.059  -0.050  0.127  10.00   8.04  0.20  0.04     600   400   200  H88 288            080.31250  -69.02833
HS247              -4.096  0.054  -0.065  0.025  -0.025  0.056   0.194  0.102  10.00   8.04  0.35  0.05     300  1100   100  [HS66] 247         080.43750  -68.91667
HS100.KMHK485      -4.661  0.030  -0.277  0.014   0.082  0.031   0.094  0.061   7.88   8.04  0.20  0.17     950   850   100  [HS66] 100         075.85417  -69.73833
KMK88-35.H88-187   -4.453  0.040  -0.205  0.024   0.139  0.044   0.021  0.077  10.00   8.04  0.14  0.19     700   400   150  KMK88 35           077.73296  -68.94342
OGLE-LMC0038       -4.906  0.024  -0.208  0.012   0.041  0.026  -0.064  0.050   7.21   8.04  0.04  0.15    1200   200   350  OGLE-CL LMC 0038   075.85067  -68.85825
KMK88-45           -5.127  0.024  -0.269  0.016   0.125  0.027   0.146  0.042  10.00   8.04  0.16  0.20    1700   800   750  KMK88 45           079.82912  -69.71419
BSDL1169           -3.901  0.063  -0.195  0.059   0.473  0.081   0.265  0.104   8.97   8.05  0.13  0.21     400   300   200  BSDL1169           079.57083  -69.34667
HS127              -4.365  0.045  -0.056  0.035   0.567  0.054   0.301  0.080   9.00   8.05  0.21  0.32     500   400   300  [HS66] 127         077.14579  -69.17669
BSDL2164           -4.011  0.050  -0.404  0.024   0.099  0.053   0.067  0.097   7.20   8.05  0.10  0.07     800   400   100  BSDL2164           082.87917  -69.48500
H88-282            -4.108  0.057  -0.177  0.034   0.195  0.063  -0.032  0.129   8.30   8.05  0.12  0.01     550   150   150  H88 282            080.12500  -69.31333
BSDL1335           -4.281  0.039  -0.409  0.016   0.004  0.040   0.110  0.077   7.21   8.05  0.06  0.07    1100   100   150  BSDL1335           080.27279  -70.04592
KMK88-48           -4.377  0.059  -0.312  0.040   0.249  0.068  -0.063  0.120  10.00   8.05  0.01  0.17     900    50   350  KMK88 48           080.14608  -69.68872
SL408              -4.086  0.069  -0.277  0.052   0.208  0.082   0.161  0.129   8.05   8.06  0.22  0.16     650   450   300  [SL63] 408         080.31667  -69.07167
KMK88-5.H88-105    -5.443  0.022  -0.264  0.016   0.163  0.026   0.010  0.045   8.06   8.06  0.20  0.32    2200  1500  1400  KMK88 5            076.04912  -69.30289
HS203              -4.624  0.057  -0.241  0.031   0.133  0.062   0.205  0.109   8.07   8.07  0.22  0.15    1100   700   500  [HS66] 203         079.05833  -69.82500
SL357.BRHT9        -6.590  0.019  -0.003  0.016   0.534  0.024   0.245  0.033   9.00   8.07  0.26  0.68    3200  6300  2500  [SL63] 357         079.36079  -69.37550
H88-184            -4.313  0.047  -0.346  0.022   0.096  0.049   0.210  0.089   7.82   8.07  0.14  0.12    1000   300   250  H88 184            077.66712  -69.27403
HS136              -4.405  0.037  -0.071  0.024   0.476  0.042   0.259  0.075   8.99   8.07  0.36  0.30     550   850   350  [HS66] 136         077.41746  -69.21094
H88-279            -4.646  0.045  -0.283  0.024   0.068  0.048   0.057  0.085  10.00   8.07  0.16  0.19    1100   700   200  H88 279            080.00854  -69.26100
KMK88-61           -4.460  0.026  -0.446  0.016   0.535  0.029   0.776  0.037  10.00   8.07  0.06  0.01     700   200    50  KMK88 61           082.64583  -69.11833
H88-285            -3.741  0.083   0.269  0.048   0.136  0.090   0.043  0.163  10.00   8.07  0.02  0.03     200    50     0  H88 285            080.26250  -69.09667
BSDL14             -3.807  0.040  -0.160  0.020   0.343  0.042  -0.078  0.108  10.00   8.07  0.08  0.02     350   150   100  BSDL14             071.24583  -70.30500
KMHK442            -3.567  0.060  -0.132  0.030   0.097  0.063  -0.179  0.157  10.00   8.07  0.25  0.07     350   300   150  KMHK442            075.27500  -69.59500
H88-182            -4.587  0.049  -0.507  0.022  -0.206  0.051   0.323  0.074  10.00   8.07  0.04  0.17    1500   100   400  H88 182            077.64925  -69.14661
KMK88-32.H88-178   -5.624  0.020  -0.262  0.016   0.212  0.024   0.210  0.036  10.00   8.07  0.02  0.35    2700   300  1750  KMK88 32           077.58429  -68.87711
BSDL918            -3.845  0.046  -0.318  0.016  -0.091  0.046  -0.033  0.105   7.28   8.07  0.17  0.21     550   400   350  BSDL918            078.25833  -70.67167
HS242              -5.568  0.023  -0.334  0.012   0.079  0.025   0.241  0.039   7.20   8.07  0.06  0.01    3200   300   200  [HS66] 242         080.14462  -70.01472
SL270.KMHK596      -4.853  0.040  -0.145  0.017   0.082  0.041   0.066  0.086   7.20   8.08  0.05  0.22    1000   200   500  [SL63] 270         077.28750  -70.61333
BSDL551            -4.025  0.048  -0.413  0.025   0.268  0.051   0.433  0.085   7.18   8.08  0.04  0.20     800   100   400  BSDL551            076.15000  -70.40000
H88-22.H80F1-19    -3.153  0.079  -0.236  0.037   0.007  0.083  -0.671  0.325  10.00   8.08  0.09  0.04     250    50    50  H88 22             073.65000  -69.00000
SL251.KMHK574      -4.811  0.032  -0.136  0.018   0.175  0.035   0.114  0.062   8.38   8.08  0.10  0.24     850   550   550  [SL63] 251         076.99583  -69.87500
NGC1775.SL129      -5.943  0.011  -0.263  0.005   0.242  0.011   0.243  0.022   8.16   8.09  0.11  0.37    3500  1000  1900  NGC1775            074.22500  -70.43000
HS153.BRHT48       -5.784  0.019  -0.327  0.012   0.060  0.021   0.178  0.033   7.80   8.09  0.01  0.27    3700   300  1800  [HS66] 153         077.62387  -68.87264
SL160.KMHK402      -5.077  0.021  -0.132  0.010   0.173  0.022  -0.002  0.049   8.38   8.10  0.09  0.31    1300   600   800  [SL63] 160         074.86250  -70.41667
HS179              -4.412  0.039  -0.097  0.023   0.312  0.043   0.219  0.077   8.81   8.10  0.35  0.21     600  1100   350  [HS66] 179         078.39896  -68.82453
KMK88-21.H88-140   -4.566  0.035  -0.235  0.027   0.358  0.042   0.365  0.059   6.95   8.10  0.09  0.20    1000   100   350  KMK88 21           076.82917  -68.98500
HS220              -5.494  0.019  -0.253  0.012   0.218  0.021   0.202  0.034   8.13   8.11  0.04  0.40    2500   200  1600  [HS66] 220         079.60417  -69.87500
KMK88-72           -3.739  0.047  -0.056  0.020   0.159  0.049   0.027  0.097   8.51   8.11  0.02  0.15     300    50   100  KMK88 72           083.30833  -68.71667
BSDL201            -3.358  0.058  -0.429  0.021  -0.019  0.058   0.051  0.129   7.21   8.11  0.07  0.15     650    50   450  BSDL201            073.52917  -69.94000
HS247              -4.372  0.043  -0.259  0.019   0.107  0.045  -0.083  0.104   7.94   8.12  0.01  0.18    1000   100   300  [HS66] 247         080.43750  -68.91667
BSDL1744           -4.209  0.045  -0.361  0.026   0.034  0.049   0.058  0.085   7.21   8.12  0.06  0.08    1100   200   100  BSDL1744           081.67500  -69.14000
KMHK403            -3.504  0.056   0.051  0.028   0.131  0.059  -0.024  0.147   8.30   8.12  0.01  0.12     200    50     0  KMHK403            074.95000  -68.31500
SL90.KMHK250       -4.344  0.044  -0.058  0.022   0.282  0.047   0.097  0.092  10.00   8.12  0.11  0.30     450   400   200  [SL63] 90          073.62083  -69.92000
HS263              -5.986  0.016  -0.292  0.009   0.131  0.017   0.226  0.028   7.97   8.13  0.02  0.48    4500   500  3400  [HS66] 263         080.79304  -69.86706
H88-33.KMHK286     -3.966  0.033  -0.412  0.012  -0.051  0.033   0.125  0.071   7.22   8.13  0.05  0.07     900   200   100  H88 33             073.92083  -67.78333
BSDL1796           -5.111  0.018  -0.307  0.008   0.051  0.019   0.120  0.037   7.80   8.13  0.03  0.21    2200   500   800  BSDL1796           081.86250  -68.88833
KMK88-49           -4.496  0.041  -0.160  0.023   0.198  0.045  -0.015  0.084   8.32   8.14  0.03  0.33     800   100   300  KMK88 49           080.29554  -69.94356
H88-232            -3.845  0.070  -0.285  0.041   0.123  0.077  -0.037  0.144   8.03   8.14  0.09  0.10     750   100   300  H88 232            078.84167  -69.04167
KMK88-35.H88-187   -4.488  0.038  -0.155  0.022   0.228  0.042  -0.092  0.082   8.34   8.14  0.02  0.19     800   150   250  KMK88 35           077.73296  -68.94342
NGC1828.SL203      -6.687  0.014  -0.242  0.008   0.088  0.015   0.120  0.027   7.76   8.14  0.04  0.01    8500  1000   500  NGC1828            076.08912  -69.38783
H88-288            -3.900  0.050  -0.274  0.027   0.195  0.054   0.078  0.100   8.06   8.15  0.01  0.17     650    50   200  H88 288            080.31250  -69.02833
KMK88-27           -5.060  0.019  -0.242  0.010   0.150  0.020   0.144  0.040   8.14   8.15  0.05  0.33    1900   300  1150  KMK88 27           077.22083  -69.00333
BSDL2503           -3.910  0.046  -0.297  0.024   0.093  0.049  -0.125  0.113   7.87   8.15  0.17  0.12     800   400   400  BSDL2503           083.89583  -69.46000
SL107.KMHK291      -4.430  0.024  -0.308  0.011   0.049  0.025   0.142  0.052  10.00   8.15  0.10  0.13    1400   100   550  [SL63] 107         073.93750  -68.28167
H88-32             -3.140  0.070  -0.143  0.024  -0.147  0.070   0.098  0.148  10.00   8.15  0.22  0.09     250   350    50  H88 32             073.91250  -67.72667
BSDL149            -3.287  0.068  -0.116  0.032   0.118  0.071  -0.120  0.181   8.32   8.15  0.24  0.09     300   400   100  BSDL149            073.23750  -68.27167
KMK88-4.H88-104    -3.772  0.077  -0.203  0.041   0.167  0.082   0.117  0.123   8.24   8.15  0.23  0.18     500   500   200  KMK88 4            076.08042  -69.35644
H88-172            -3.985  0.053  -0.318  0.030   0.093  0.058   0.108  0.104   7.86   8.15  0.07  0.10     900   200   250  H88 172            077.48254  -69.33064
HS95               -4.478  0.039  -0.337  0.020   0.100  0.042   0.362  0.065   6.83   8.15  0.03  0.08    1400   100   300  [HS66] 95          075.72825  -68.77111
HS214.KMHK738      -3.577  0.059  -0.154  0.035   0.325  0.065   0.075  0.120  10.00   8.15  0.01  0.06     400    50   200  [HS66] 214         079.45417  -70.80000
BSDL267            -4.233  0.031  -0.226  0.014   0.277  0.032   0.265  0.056   7.16   8.16  0.07  0.20     900   100   450  BSDL267            073.91250  -70.75833
HS140.KMHK608      -4.515  0.028  -0.227  0.013   0.139  0.029   0.145  0.063   8.09   8.17  0.12  0.19    1200   500   600  [HS66] 140         077.41667  -70.35667
SL412              -5.752  0.024  -0.221  0.016   0.249  0.027   0.233  0.042   8.20   8.17  0.01  0.50    3500   500  2500  [SL63] 412         080.37462  -69.82861
HS346              -6.119  0.010  -0.228  0.006   0.211  0.011   0.169  0.021   8.19   8.17  0.14  0.61    5000  2000  4100  [HS66] 346         083.01250  -69.37000
HS78.KMHK400       -4.480  0.029  -0.244  0.016   0.267  0.031   0.322  0.050   7.05   8.17  0.04  0.10    1100   200   300  [HS66] 78          074.89583  -68.87500
SL419              -6.350  0.014  -0.238  0.010   0.239  0.016   0.135  0.028   8.20   8.18  0.15  0.48    6500  2500  4700  [SL63] 419         080.51375  -69.25497
H88-276            -3.615  0.057  -0.154  0.033   0.302  0.062   0.127  0.125   8.79   8.18  0.22  0.21     400   450   200  H88 276            079.97917  -68.80167
BRHT2b.KMHK340     -5.029  0.023  -0.198  0.017   0.281  0.027   0.245  0.039  10.00   8.18  0.03  0.40    1800   100  1250  BRHT 2b            074.23542  -70.42750
BSDL2405           -3.790  0.060  -0.038  0.044   0.516  0.070   0.248  0.105   9.00   8.19  0.33  0.22     350   550   150  BSDL2405           083.59583  -69.41500
SL90.KMHK250       -4.253  0.045  -0.239  0.021   0.257  0.047   0.276  0.077   8.19   8.19  0.10  0.23     950   150   450  [SL63] 90          073.62083  -69.92000
HS211              -5.008  0.056  -0.182  0.041   0.353  0.065   0.431  0.076   7.16   8.20  0.12  0.12    1600   600   400  [HS66] 211         079.40942  -68.97264
KMK88-37.H88-203   -4.113  0.044  -0.276  0.022   0.124  0.047   0.233  0.082   7.97   8.20  0.08  0.13    1000   200   250  KMK88 37           077.93225  -68.78581
HS336              -3.733  0.059  -0.361  0.027   0.012  0.061   0.395  0.109  10.00   8.20  0.07  0.09     850    50   150  [HS66] 336         082.73333  -69.10667
KMK88-92.H88-299   -3.163  0.071  -0.091  0.032   0.280  0.073   0.162  0.158   8.46   8.21  0.24  0.16     250   300    50  KMK88 92           084.56250  -68.89333
BSDL2311           -3.949  0.041  -0.103  0.024   0.322  0.045   0.230  0.073   8.83   8.21  0.15  0.31     500   400   250  BSDL2311           083.37083  -69.29167
KMHK144            -4.248  0.028  -0.330  0.013   0.112  0.029   0.286  0.053   7.00   8.21  0.07  0.11    1200   100   250  KMHK144            072.67917  -69.08833
HS318.KMHK948      -4.462  0.035  -0.267  0.014   0.172  0.036   0.311  0.066   8.05   8.21  0.07  0.08    1300   200   300  [HS66] 318         082.18333  -67.06000
HS155              -3.788  0.064  -0.237  0.033   0.166  0.068   0.007  0.124  10.00   8.21  0.03  0.18     550   350   100  [HS66] 155         077.57829  -69.27258
KMK88-76           -4.673  0.024  -0.216  0.011   0.246  0.025   0.260  0.041   8.21   8.22  0.02  0.14    1400   100   400  KMK88 76           083.57917  -68.99000
KMHK176            -3.921  0.033  -0.298  0.014   0.021  0.034   0.133  0.072   7.20   8.22  0.07  0.06     950   150   150  KMHK176            072.97917  -69.56167
KMK88-46           -5.576  0.021  -0.226  0.013   0.175  0.023   0.122  0.037   8.19   8.23  0.15  0.54    3500  1500  2600  KMK88 46           079.93750  -69.66833
SL412              -5.462  0.030  -0.210  0.018   0.180  0.033   0.398  0.046   7.10   8.23  0.06  0.14    3000   500   800  [SL63] 412         080.37462  -69.82861
NGC1921.SL381      -6.041  0.020  -0.225  0.013   0.114  0.023   0.196  0.036   7.83   8.23  0.03  0.10    5500   500  1000  NGC1921            079.83333  -69.78833
KMK88-84.KMHK1133  -3.622  0.048  -0.235  0.020   0.159  0.049   0.060  0.101   8.27   8.24  0.08  0.18     550   150   150  KMK88 84           084.07917  -68.86500
KMK88-17           -3.989  0.057  -0.243  0.032   0.037  0.062   0.203  0.092   7.64   8.24  0.12  0.11    1000   200   300  KMK88 17           076.55333  -68.84833
HS139.BRHT47       -5.534  0.035  -0.214  0.021   0.122  0.039   0.053  0.070   6.83   8.25  0.10  0.65    3700   800  3100  [HS66] 139         077.44025  -68.78836
NGC1775.SL129      -5.820  0.013  -0.197  0.006   0.222  0.014   0.165  0.024   8.26   8.25  0.17  0.32    4500  2000  2500  NGC1775            074.22500  -70.43000
KMK88-22           -3.794  0.073  -0.106  0.046   0.323  0.082   0.128  0.142   8.83   8.25  0.11  0.21     450   350   250  KMK88 22           077.01612  -69.30103
HS203              -4.036  0.062  -0.228  0.036   0.196  0.068   0.257  0.102  10.00   8.25  0.14  0.21     850   350   450  [HS66] 203         079.05833  -69.82500
ESO56SC41          -5.273  0.020  -0.185  0.013   0.238  0.023   0.124  0.042   8.29   8.26  0.16  0.53    2700  1300  2150  ESO 56-41          074.77500  -70.16833
SL387.BRHT35       -6.412  0.022  -0.195  0.018   0.403  0.027   0.158  0.037   8.48   8.27  0.25  0.22    7500  5500  3000  [SL63] 387         079.89117  -69.54219
NGC1872.SL318      -8.048  0.007  -0.221  0.005   0.290  0.008   0.208  0.012   8.77   8.27  0.13  0.18   33000 14000 12000  NGC1872            078.29854  -69.31250
BSDL196            -3.358  0.058  -0.289  0.022   0.013  0.059   0.096  0.127   7.46   8.27  0.14  0.10     650   200   300  BSDL196            073.53750  -69.45333
HS346              -6.101  0.010  -0.196  0.006   0.182  0.011   0.181  0.019   8.26   8.27  0.02  0.03    6000   500   500  [HS66] 346         083.01250  -69.37000
KMK88-50           -4.498  0.032  -0.177  0.022   0.389  0.037   0.073  0.064  10.00   8.29  0.16  0.41    1300   700  1050  KMK88 50           080.34487  -69.90931
HS218              -5.607  0.020  -0.183  0.014   0.213  0.023   0.149  0.033   8.29   8.29  0.23  0.63    4000  2500  3350  [HS66] 218         079.60650  -69.32506
SL453              -7.009  0.012  -0.195  0.008   0.208  0.014   0.134  0.021   8.27   8.29  0.15  0.13   15000  5000  7500  [SL63] 453         081.25471  -69.43419
HS232.KMHK805      -3.496  0.065  -0.048  0.038   0.412  0.071   0.204  0.124   8.94   8.29  0.02  0.24     350   100   150  [HS66] 232         080.15417  -70.96436
KMHK494            -4.378  0.027  -0.148  0.016   0.245  0.030   0.238  0.053   8.25   8.30  0.06  0.36    1300   100   850  KMHK494            075.95833  -70.37167
KMHK448            -5.656  0.013  -0.187  0.008   0.226  0.015   0.446  0.022  10.00   8.30  0.01  0.17    4000   500  1300  KMHK448            075.37167  -68.71217
HS235.KMHK784      -3.694  0.047  -0.083  0.026   0.406  0.051   0.342  0.097  10.00   8.30  0.10  0.37     550   100   350  [HS66] 235         080.01250  -68.47833
NGC1836.SL223      -6.837  0.012  -0.195  0.011   0.197  0.015   0.103  0.021   8.27   8.30  0.11  0.26   13000  3000  5500  NGC1836            076.39912  -68.62847
SL385.BRHT35       -6.627  0.018  -0.168  0.013   0.308  0.021   0.195  0.030   8.81   8.31  0.28  0.23   10000  8000  6000  [SL63] 385         079.85725  -69.54086
HS335              -4.342  0.042  -0.134  0.027   0.316  0.047   0.437  0.065   8.82   8.31  0.19  0.13    1200   600   500  [HS66] 335         082.73750  -69.34333
H88-287            -3.880  0.065  -0.171  0.049   0.240  0.077   0.323  0.113   8.31   8.31  0.07  0.10     750   250   150  H88 287            080.28750  -69.11667
SL390              -5.882  0.026  -0.149  0.019   0.409  0.031   0.372  0.045   8.95   8.32  0.13  0.73    4500  1500  3800  [SL63] 390         079.97654  -68.96464
HS319.BRHT52a      -6.017  0.015  -0.184  0.010   0.132  0.017   0.124  0.024   7.92   8.32  0.11  0.70    6500  1500  5300  [HS66] 319         082.20000  -68.98500
HS77.KMHK373       -4.150  0.031  -0.037  0.022   0.483  0.036   0.388  0.056   9.00   8.32  0.07  0.23     800   150   350  [HS66] 77          074.61667  -67.37667
NGC1856.SL271      -9.009  0.005  -0.170  0.004   0.297  0.006   0.219  0.008   8.80   8.33  0.02  0.26   97000  3000 47000  NGC1856            077.37662  -69.12928
KMK88-20.H88-148   -3.534  0.081  -0.220  0.034  -0.080  0.083   0.199  0.147  10.00   8.33  0.07  0.05     800   100   150  KMK88 20           076.98108  -69.29925
KMHK471            -4.108  0.029  -0.133  0.011   0.259  0.029   0.230  0.061   8.41   8.34  0.03  0.35    1100   100   900  KMHK471            075.55417  -70.83667
KMHK116            -4.213  0.031  -0.212  0.012   0.124  0.032   0.355  0.061   7.00   8.34  0.03  0.21    1300   100   550  KMHK116            072.33333  -68.19333
H88-234            -4.869  0.032  -0.130  0.023   0.295  0.037   0.316  0.052   7.15   8.35  0.11  0.38    2000   700  1300  H88 234            078.91858  -69.33839
KMHK823            -5.218  0.016  -0.065  0.007   0.404  0.017   0.379  0.029   8.94   8.36  0.05  0.04    2500   200   300  KMHK823            080.51667  -68.15333
SL342.KMHK701      -5.085  0.030  -0.117  0.016   0.206  0.032   0.250  0.050   8.41   8.36  0.17  0.12    2700  1300   900  [SL63] 342         078.88333  -70.33500
H88-278            -5.105  0.033  -0.119  0.024   0.233  0.039   0.438  0.047  10.00   8.37  0.06  0.03    2700   500   200  H88 278            079.98950  -69.41744
SL419              -6.421  0.017  -0.154  0.011   0.162  0.019   0.184  0.027   8.35   8.37  0.01  0.03   10000  1000  1000  [SL63] 419         080.51375  -69.25497
HS81.KMHK415       -3.575  0.064  -0.139  0.031  -0.057  0.067   0.320  0.111  10.00   8.37  0.02  0.16     750   150   150  [HS66] 81          074.99846  -69.51089
NGC1865.SL307      -6.655  0.016  -0.148  0.010   0.296  0.018   0.171  0.031   8.77   8.38  0.16  0.23   12000  5000  7000  NGC1865            078.10421  -68.77194
KMK88-49           -4.370  0.048  -0.183  0.029   0.145  0.053   0.221  0.089  10.00   8.38  0.01  0.34    1600   200   800  KMK88 49           080.29554  -69.94356
KMHK335            -3.223  0.075  -0.229  0.044   0.222  0.082  -0.479  0.239   8.18   8.39  0.03  0.09     700    50   150  KMHK335            074.21250  -70.10000
H88-269            -4.980  0.029  -0.125  0.018   0.217  0.032   0.166  0.055   8.39   8.40  0.16  0.55    2700  1300  2350  H88 269            079.67212  -69.07947
SL92.KMHK240       -5.019  0.021  -0.049  0.014   0.479  0.024   0.424  0.035   8.99   8.40  0.12  0.51    2000   700  1550  [SL63] 92          073.60833  -68.24833
HS273              -4.764  0.023  -0.100  0.013   0.195  0.025   0.207  0.045   8.44   8.42  0.14  0.44    2200  1000  1650  [HS66] 273         081.07500  -68.85833
BSDL993            -4.291  0.048  -0.019  0.039   0.564  0.058   0.566  0.066   9.40   8.43  0.18  0.22    1000   600   500  BSDL993            078.67500  -68.95000
H88-323.KMHK1279   -4.176  0.030  -0.005  0.020   0.478  0.034   0.493  0.052   8.99   8.43  0.02  0.10     900   100   200  H88 323            085.70833  -68.79000
SL92.KMHK240       -4.813  0.020  -0.017  0.013   0.441  0.023   0.385  0.037   9.00   8.43  0.04  0.51    1900   100  1350  [SL63] 92          073.60833  -68.24833
HS139.BRHT47       -4.939  0.033  -0.095  0.026   0.175  0.040   0.197  0.056   8.45   8.43  0.12  0.10    2700  1000   500  [HS66] 139         077.44025  -68.78836
SL146.KMHK377      -4.737  0.025  -0.094  0.014   0.366  0.027   0.448  0.046   8.90   8.44  0.02  0.33    2000   500  1100  [SL63] 146         074.57083  -70.08000
H88-26             -3.086  0.072  -0.150  0.034   0.141  0.075   0.050  0.159   8.36   8.44  0.02  0.29     600    50   350  H88 26             073.76250  -67.96500
BSDL149            -3.104  0.071  -0.080  0.028  -0.099  0.072   0.246  0.138  10.00   8.45  0.10  0.35     600   150   400  BSDL149            073.23750  -68.27167
HS38.KMHK148       -4.469  0.028  -0.120  0.011   0.146  0.029   0.061  0.065   8.32   8.45  0.10  0.53    2000   500  1800  [HS66] 38          072.79583  -67.53500
HS288.KMHK885      -4.701  0.026  -0.129  0.010   0.133  0.026   0.999  9.999   7.92   8.45  0.01  0.52    2500   200  2050  [HS66] 288         081.50000  -67.25667
NGC1801.SL170      -6.907  0.013  -0.077  0.008   0.174  0.015   0.133  0.024   8.48   8.45  0.11  0.10   18000  4000  4000  NGC1801            075.14167  -69.61333
BSDL528            -3.799  0.064  -0.059  0.041   0.227  0.072   0.298  0.107   8.51   8.46  0.11  0.23     900   400   400  BSDL528            076.10000  -69.46833
SL260              -5.021  0.029  -0.087  0.019   0.160  0.033   0.192  0.050   8.40   8.46  0.05  0.01    3200   500   200  [SL63] 260         077.19167  -68.68667
H88-252            -4.385  0.051  -0.089  0.032   0.110  0.057   0.194  0.094   7.85   8.47  0.04  0.47    1900   100  1500  H88 252            079.17917  -69.20333
H88-34.KMHK285     -3.696  0.043  -0.069  0.019   0.054  0.045   0.204  0.090   7.66   8.47  0.07  0.29     950   250   500  H88 34             073.91250  -67.82167
SL407.KMHK810      -4.936  0.034  -0.055  0.018   0.292  0.037   0.223  0.064   8.77   8.47  0.01  0.69    2700   300  2450  [SL63] 407         080.31250  -68.44500
SL252.KMHK570      -4.580  0.034  -0.093  0.018   0.154  0.037   0.169  0.070  10.00   8.47  0.04  0.09    2200   300   400  [SL63] 252         076.95833  -70.39167
HS161              -4.418  0.047  -0.065  0.030   0.306  0.052   0.384  0.088   8.81   8.48  0.11  0.11    1800   400   700  [HS66] 161         077.89312  -69.10947
HS180              -4.328  0.040  -0.125  0.032   0.487  0.049   0.577  0.059   9.00   8.49  0.09  0.33    1400   400   800  [HS66] 180         078.44167  -69.08167
SL27.KMHK64        -1.641  0.280  -0.220  0.095   0.041  0.276   0.133  0.671  10.00   8.49  0.06  0.12     200   100     0  [SL63] 27          071.27083  -68.79500
SL406.KMHK814      -4.556  0.025   0.017  0.016   0.407  0.028   0.286  0.047   9.00   8.49  0.27  0.11    1700  1500   400  [SL63] 406         080.25862  -70.87336
SL224.KMHK534      -5.489  0.024  -0.072  0.011   0.191  0.025   0.162  0.046   8.48   8.50  0.01  0.82    5500  1000  5000  [SL63] 224         076.42500  -70.32500
BSDL749            -3.584  0.052  -0.076  0.024   0.083  0.054   0.055  0.115   7.37   8.50  0.05  0.50    1000   200   800  BSDL749            077.30000  -70.79667
BSDL542            -3.799  0.047  -0.034  0.032   0.264  0.054   0.226  0.092   8.55   8.51  0.07  0.47    1100   100   900  BSDL542            076.11667  -70.17000
BSDL767            -5.471  0.011  -0.061  0.005   0.322  0.011   0.164  0.023   8.83   8.51  0.26  0.25    5000  3500  2000  BSDL767            077.43333  -70.30833
HS198              -4.111  0.052  -0.054  0.048   0.331  0.067   0.421  0.085   8.85   8.51  0.16  0.19    1400   600   600  [HS66] 198         078.85750  -69.05075
SL252.KMHK570      -4.874  0.032  -0.060  0.018   0.281  0.035   0.091  0.063   8.56   8.52  0.18  0.52    3000  1500  2400  [SL63] 252         076.95833  -70.39167
KMHK333            -3.854  0.040  -0.065  0.017   0.155  0.041   0.172  0.085   8.20   8.52  0.03  0.10    1300   100   350  KMHK333            074.27917  -67.83000
HS117              -5.097  0.029  -0.017  0.023   0.344  0.035   0.330  0.043   8.48   8.52  0.09  0.07    3200   800   500  [HS66] 117         076.60221  -68.70522
SL291.KMHK626      -5.643  0.016  -0.017  0.008   0.353  0.017   0.355  0.028  10.00   8.54  0.06  0.14    5500  1000  1500  [SL63] 291         077.62083  -70.91000
SL276              -6.255  0.019  -0.018  0.016   0.346  0.024   0.248  0.038   8.89   8.54  0.26  0.36   10000  8000  7500  [SL63] 276         077.49896  -69.35400
NGC1878.SL316      -6.005  0.015  -0.035  0.009   0.222  0.017   0.208  0.027   8.55   8.54  0.03  0.02    9000   500   500  NGC1878            078.20417  -70.47167
HS155              -3.866  0.052  -0.008  0.028   0.287  0.056   0.211  0.098   8.61   8.55  0.03  0.54    1200   100  1000  [HS66] 155         077.57829  -69.27258
H88-235            -4.046  0.067  -0.029  0.043   0.218  0.075   0.330  0.117   8.55   8.55  0.02  0.08    1600   100   400  H88 235            078.94387  -69.19189
OGLE-LMC0002       -2.357  0.163  -0.019  0.087   0.210  0.173   0.888  0.217  10.00   8.55  0.02  0.28     300   100    50  OGLE-CL LMC 0002   075.04554  -68.61522
H88-51.H80F1-34    -4.779  0.041   0.033  0.019   0.119  0.043   0.258  0.080   7.00   8.55  0.02  0.66    3000   200  2800  H88 51             074.47083  -68.57667
H88-40.KMHK310     -4.434  0.034  -0.035  0.017   0.202  0.036   0.340  0.059  10.00   8.55  0.02  0.04    2200   300   300  H88 40             074.12083  -67.62333
KMHK288            -3.518  0.061  -0.005  0.031   0.161  0.065   0.417  0.112   8.56   8.55  0.02  0.03     950    50   200  KMHK288            073.84583  -70.31833
BSDL471            -4.172  0.042   0.010  0.022   0.353  0.045   0.220  0.074   8.89   8.55  0.33  0.21    1500  1700   650  BSDL471            075.67083  -69.52692
KMHK150            -3.130  0.069   0.071  0.023   0.027  0.069   0.450  0.125  10.00   8.56  0.05  0.20     650   100   150  KMHK150            072.78333  -68.24500
SL503.KMHK952      -5.466  0.023  -0.009  0.011   0.191  0.024   0.262  0.045   7.00   8.56  0.01  0.82    5500   500  5250  [SL63] 503         082.24583  -68.41833
SL181              -5.174  0.029  -0.012  0.024   0.299  0.036   0.226  0.049   8.81   8.56  0.01  0.06    4000   500   500  [SL63] 181         075.46537  -69.21431
